rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Vancouver Canucks","VAN","82","54","19","9","117",".713","262","185","0.87","-0.07","5.45","72","296","24.32","45","312","85.58","6","2","2624","9.8","2467",".928","102.6"
"2","Washington Capitals","WSH","82","48","23","11","107",".652","224","197","0.27","-0.06","5.13","46","263","17.49","43","299","85.62","7","5","2566","8.5","2374",".920","100.5"
"3","Philadelphia Flyers","PHI","82","47","23","12","106",".646","259","223","0.40","-0.04","5.88","49","295","16.61","54","313","82.75","13","5","2605","9.8","2465",".915","101.3"
"4","Pittsburgh Penguins","PIT","82","49","25","8","106",".646","238","199","0.43","-0.05","5.33","49","311","15.76","45","324","86.11","13","6","2582","8.8","2346",".919","100.6"
"5","San Jose Sharks","SJS","82","48","25","9","105",".640","248","213","0.44","0.02","5.62","68","290","23.45","56","273","79.49","6","7","2832","8.6","2365",".914","100.0"
"6","Detroit Red Wings","DET","82","47","25","10","104",".634","261","241","0.27","0.03","6.12","67","301","22.26","53","300","82.33","5","7","2757","9.3","2508",".908","100.1"
"7","Tampa Bay Lightning","TBL","82","46","25","11","103",".628","247","240","0.04","-0.05","5.94","69","336","20.54","49","302","83.77","1","16","2605","9.3","2347",".903","99.4"
"8","Boston Bruins","BOS","82","46","25","11","103",".628","246","195","0.56","-0.07","5.38","43","266","16.17","46","265","82.64","11","5","2696","9.1","2677",".932","102.2"
"9","Nashville Predators","NSH","82","44","27","11","99",".604","219","194","0.31","0.01","5.04","41","269","15.24","41","272","84.93","5","2","2362","9.0","2506",".926","101.6"
"10","Anaheim Ducks","ANA","82","47","30","5","99",".604","239","235","0.09","0.05","5.78","67","285","23.51","57","305","81.31","7","7","2334","10.1","2641",".915","101.2"
"11","Phoenix Coyotes","PHX","82","43","26","13","99",".604","231","226","0.11","0.05","5.57","46","289","15.92","64","296","78.38","5","6","2486","9.1","2670",".919","101.1"
"12","Los Angeles Kings","LAK","82","46","30","6","98",".598","219","198","0.29","0.03","5.09","47","291","16.15","40","276","85.51","4","6","2363","8.8","2283",".916","100.4"
"13","Chicago Blackhawks","CHI","82","44","29","9","97",".591","258","225","0.41","0.01","5.89","64","277","23.10","53","255","79.22","6","4","2637","9.6","2344",".910","100.3"
"14","Buffalo Sabres","BUF","82","43","29","10","96",".585","245","229","0.15","-0.04","5.78","54","279","19.35","51","300","83.00","2","13","2690","8.9","2504",".913","100.0"
"15","Montreal Canadiens","MTL","82","44","30","8","96",".585","216","209","0.05","-0.04","5.18","57","290","19.66","51","327","84.40","5","6","2602","8.2","2530",".922","100.2"
"16","Dallas Stars","DAL","82","42","29","11","95",".579","227","233","-0.02","0.05","5.61","55","306","17.97","55","277","80.14","10","15","2269","9.8","2493",".914","100.9"
"17","Calgary Flames","CGY","82","41","29","12","94",".573","250","237","0.14","-0.02","5.94","62","318","19.50","53","282","81.21","7","9","2501","9.6","2326",".906","99.9"
"18","New York Rangers","NYR","82","44","33","5","93",".567","233","198","0.37","-0.06","5.26","49","290","16.90","42","257","83.66","11","5","2453","9.1","2402",".922","101.1"
"19","Carolina Hurricanes","CAR","82","40","31","11","91",".555","236","239","-0.08","-0.04","5.79","55","346","15.90","51","272","81.25","7","6","2517","9.2","2718",".916","100.8"
"20","St. Louis Blues","STL","82","38","33","11","87",".530","240","234","0.11","0.04","5.78","52","279","18.64","51","279","81.72","7","1","2475","9.5","2268",".902","99.6"
"21","Minnesota Wild","MIN","82","39","35","8","86",".524","206","233","-0.30","0.03","5.35","53","292","18.15","53","309","82.85","7","7","2148","9.5","2615",".917","100.9"
"22","Toronto Maple Leafs","TOR","82","37","34","11","85",".518","218","251","-0.41","0.00","5.72","52","326","15.95","62","275","77.45","5","8","2360","9.0","2531",".907","99.7"
"23","Columbus Blue Jackets","CBJ","82","34","35","13","81",".494","215","258","-0.45","0.08","5.77","42","301","13.95","62","314","80.25","6","11","2506","8.4","2440",".900","98.3"
"24","New Jersey Devils","NJD","82","38","39","5","81",".494","174","209","-0.41","0.02","4.67","34","237","14.35","40","241","83.40","3","8","2344","7.3","2146",".906","97.8"
"25","Atlanta Thrashers","ATL","82","34","36","12","80",".488","223","269","-0.57","-0.01","6.00","53","289","18.34","64","285","77.54","6","10","2581","8.4","2623",".906","98.7"
"26","Ottawa Senators","OTT","82","32","40","10","74",".451","192","250","-0.69","0.02","5.39","45","257","17.51","48","295","83.73","6","4","2381","8.0","2552",".907","98.4"
"27","New York Islanders","NYI","82","30","39","13","73",".445","229","264","-0.42","0.01","6.01","52","302","17.22","52","310","83.23","15","7","2408","9.3","2610",".905","99.5"
"28","Florida Panthers","FLA","82","30","40","12","72",".439","195","229","-0.43","-0.01","5.17","35","267","13.11","41","267","84.64","4","5","2493","7.7","2600",".918","99.2"
"29","Colorado Avalanche","COL","82","30","44","8","68",".415","227","288","-0.70","0.05","6.28","49","265","18.49","75","314","76.11","8","11","2394","9.2","2595",".895","98.5"
"30","Edmonton Oilers","EDM","82","25","45","12","62",".378","193","269","-0.87","0.06","5.63","44","304","14.47","74","321","76.95","8","2","2188","8.7","2587",".903","98.8"
