rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Vancouver Canucks","VAN","82","51","22","9","111",".677","249","198","0.57","-0.05","5.45","57","288","19.79","40","286","86.01","7","4","2583","9.3","2522",".926","101.9"
"2","St. Louis Blues","STL","82","49","22","11","109",".665","210","165","0.54","-0.01","4.57","45","269","16.73","40","282","85.82","7","3","2512","8.2","2183",".932","101.2"
"3","New York Rangers","NYR","82","51","24","7","109",".665","226","187","0.46","-0.02","5.04","44","280","15.71","36","260","86.15","8","4","2338","9.5","2272",".924","101.6"
"4","Pittsburgh Penguins","PIT","82","51","25","6","108",".659","282","221","0.71","-0.03","6.13","57","289","19.72","33","270","87.78","11","10","2779","9.8","2240",".906","100.1"
"5","Nashville Predators","NSH","82","48","26","8","104",".634","237","210","0.34","0.01","5.45","54","250","21.60","40","244","83.61","5","4","2261","10.3","2517",".921","102.2"
"6","Philadelphia Flyers","PHI","82","47","26","9","103",".628","264","232","0.39","0.00","6.05","66","335","19.70","58","319","81.82","6","9","2641","9.8","2323",".906","100.3"
"7","New Jersey Devils","NJD","82","48","28","6","102",".622","228","209","0.23","0.00","5.33","46","267","17.23","27","259","89.58","15","13","2253","9.6","2190",".911","100.2"
"8","Detroit Red Wings","DET","82","48","28","6","102",".622","248","203","0.55","0.00","5.50","48","298","16.11","50","274","81.75","2","11","2638","9.1","2204",".913","100.3"
"9","Boston Bruins","BOS","82","49","29","4","102",".622","269","202","0.75","-0.07","5.74","43","250","17.20","43","260","83.46","8","1","2653","9.8","2435",".921","101.8"
"10","Chicago Blackhawks","CHI","82","45","26","11","101",".616","248","238","0.14","0.02","5.93","42","277","15.16","51","233","78.11","7","3","2583","9.3","2341",".902","99.5"
"11","Phoenix Coyotes","PHX","82","42","27","13","97",".591","216","204","0.16","0.01","5.12","34","251","13.55","36","249","85.54","6","6","2429","8.6","2588",".927","101.2"
"12","San Jose Sharks","SJS","82","43","29","10","96",".585","228","210","0.22","0.00","5.34","57","270","21.11","52","225","76.89","3","4","2773","7.9","2337",".915","99.4"
"13","Los Angeles Kings","LAK","82","40","27","15","95",".579","194","179","0.19","0.01","4.55","49","289","16.96","38","293","87.03","9","2","2509","7.5","2246",".925","100.0"
"14","Florida Panthers","FLA","82","38","26","18","94",".573","203","227","-0.33","-0.03","5.24","53","286","18.53","49","239","79.50","4","6","2433","8.1","2498",".916","99.7"
"15","Washington Capitals","WSH","82","42","32","8","92",".561","222","230","-0.13","-0.03","5.51","41","245","16.73","49","266","81.58","3","10","2295","9.5","2467",".912","100.4"
"16","Ottawa Senators","OTT","82","41","31","10","92",".561","249","240","0.09","-0.02","5.96","49","270","18.15","57","310","81.61","9","7","2574","9.4","2624",".911","100.6"
"17","Calgary Flames","CGY","82","37","29","16","90",".549","202","226","-0.28","0.01","5.22","46","260","17.69","42","268","84.33","3","6","2258","8.8","2518",".918","100.3"
"18","Buffalo Sabres","BUF","82","39","32","11","89",".543","218","230","-0.15","0.00","5.46","44","258","17.05","47","257","81.71","5","7","2397","8.8","2562",".916","100.3"
"19","Dallas Stars","DAL","82","42","35","5","89",".543","211","222","-0.10","0.03","5.28","33","244","13.52","52","303","82.84","5","3","2315","8.8","2519",".917","100.3"
"20","Colorado Avalanche","COL","82","41","35","6","88",".537","208","220","-0.13","0.01","5.22","41","223","18.39","47","277","83.03","5","4","2583","7.7","2414",".915","98.9"
"21","Tampa Bay Lightning","TBL","82","38","36","8","84",".512","235","281","-0.57","-0.01","6.29","41","269","15.24","59","284","79.23","2","12","2227","10.4","2490",".893","99.4"
"22","Winnipeg Jets","WPG","82","37","35","10","84",".512","225","246","-0.30","-0.04","5.74","45","251","17.93","58","292","80.14","3","8","2471","8.9","2462",".905","99.4"
"23","Carolina Hurricanes","CAR","82","33","33","16","82",".500","213","243","-0.39","-0.02","5.56","49","294","16.67","49","252","80.56","12","4","2497","8.5","2645",".913","99.6"
"24","Minnesota Wild","MIN","82","35","36","11","81",".494","177","226","-0.58","0.02","4.91","39","258","15.12","51","285","82.11","5","4","2174","7.6","2562",".919","99.3"
"25","Toronto Maple Leafs","TOR","82","35","37","10","80",".488","231","264","-0.38","0.02","6.04","49","267","18.35","55","242","77.27","5","6","2322","9.8","2520",".900","99.6"
"26","Anaheim Ducks","ANA","82","34","36","12","80",".488","204","231","-0.29","0.04","5.30","45","271","16.61","51","283","81.98","4","5","2291","8.8","2358",".909","99.4"
"27","New York Islanders","NYI","82","34","37","11","79",".482","203","255","-0.58","0.05","5.59","45","243","18.52","46","236","80.51","4","5","2410","8.1","2455",".903","98.1"
"28","Montreal Canadiens","MTL","82","31","35","16","78",".476","212","226","-0.17","0.00","5.34","43","301","14.29","36","315","88.57","10","8","2340","8.8","2422",".916","100.1"
"29","Edmonton Oilers","EDM","82","32","40","10","74",".451","212","239","-0.32","0.01","5.50","54","262","20.61","52","296","82.43","5","8","2186","9.5","2506",".912","100.4"
"30","Columbus Blue Jackets","CBJ","82","29","46","7","65",".396","202","262","-0.65","0.08","5.66","49","317","15.46","64","274","76.64","7","8","2454","8.1","2525",".903","98.1"
