rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","New York Islanders","NYI","80","48","18","14","110",".688","355","260","1.13","-0.06","7.69","93","317","29.34","76","368","79.35","19","6","2417","14.7","","",""
"2","St. Louis Blues","STL","80","45","18","17","107",".669","352","281","0.85","-0.04","7.91","85","359","23.68","61","338","81.95","16","12","2431","14.5","","",""
"3","Montreal Canadiens","MTL","80","45","22","13","103",".644","332","232","1.19","-0.06","7.05","72","299","24.08","51","279","81.72","8","8","2709","12.3","","",""
"4","Los Angeles Kings","LAK","80","43","24","13","99",".619","337","290","0.56","-0.03","7.84","90","366","24.59","81","356","77.25","12","7","2228","15.1","","",""
"5","Buffalo Sabres","BUF","80","39","20","21","99",".619","327","250","0.92","-0.05","7.21","73","310","23.55","44","268","83.58","9","10","2458","13.3","","",""
"6","Philadelphia Flyers","PHI","80","41","24","15","97",".606","313","249","0.76","-0.04","7.03","75","278","26.98","85","432","80.32","10","4","2647","11.8","","",""
"7","Calgary Flames","CGY","80","39","27","14","92",".575","329","298","0.37","-0.02","7.84","81","301","26.91","70","364","80.77","8","12","2171","15.2","","",""
"8","Minnesota North Stars","MNS","80","35","28","17","87",".544","291","263","0.33","-0.02","6.93","88","408","21.57","64","304","78.95","7","13","2578","11.3","","",""
"9","Boston Bruins","BOS","80","37","30","13","87",".544","316","272","0.52","-0.03","7.35","87","342","25.44","82","358","77.09","13","8","2320","13.6","","",""
"10","Chicago Black Hawks","CBH","80","31","33","16","78",".488","304","315","-0.13","0.01","7.74","67","302","22.19","91","364","75.00","8","9","2565","11.9","","",""
"11","Quebec Nordiques","QUE","80","30","32","18","78",".488","314","318","-0.05","0.00","7.90","81","339","23.89","79","335","76.42","7","10","2290","13.7","","",""
"12","Vancouver Canucks","VAN","80","28","32","20","76",".475","289","301","-0.14","0.01","7.38","68","330","20.61","81","340","76.18","11","14","2486","11.6","","",""
"13","Edmonton Oilers","EDM","80","29","35","16","74",".463","328","327","0.01","0.00","8.19","77","347","22.19","85","348","75.57","13","7","2386","13.7","","",""
"14","New York Rangers","NYR","80","30","36","14","74",".463","312","317","-0.06","0.00","7.86","63","351","17.95","83","392","78.83","14","12","2459","12.7","","",""
"15","Pittsburgh Penguins","PIT","80","30","37","13","73",".456","302","345","-0.51","0.03","8.09","92","400","23.00","99","370","73.24","6","11","2607","11.6","","",""
"16","Toronto Maple Leafs","TOR","80","28","37","15","71",".444","322","367","-0.54","0.03","8.61","85","339","25.07","93","408","77.21","9","4","2745","11.7","","",""
"17","Washington Capitals","WSH","80","26","36","18","70",".438","286","317","-0.37","0.02","7.54","74","394","18.78","83","318","73.90","8","14","2342","12.2","","",""
"18","Hartford Whalers","HAR","80","21","41","18","60",".375","292","372","-0.95","0.05","8.30","60","318","18.87","80","328","75.61","13","15","2301","12.7","","",""
"19","Colorado Rockies","CLR","80","22","45","13","57",".356","258","344","-1.02","0.05","7.53","76","373","20.38","70","286","75.52","5","8","2367","10.9","","",""
"20","Detroit Red Wings","DET","80","19","43","18","56",".350","252","339","-1.04","0.05","7.39","60","316","18.99","82","317","74.13","7","12","2468","10.2","","",""
"21","Winnipeg Jets","WIN","80","9","57","14","32",".200","246","400","-1.83","0.09","8.08","60","345","17.39","67","261","74.33","8","15","2262","10.9","","",""
