rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Edmonton Oilers","EDM","80","57","18","5","119",".744","446","314","1.51","-0.15","9.50","81","318","25.47","77","386","80.05","36","12","2613","17.1","2642",".883",""
"2","Boston Bruins","BOS","80","49","25","6","104",".650","336","261","1.01","0.07","7.46","82","342","23.98","56","336","83.33","10","7","2398","14.0","2094",".877",""
"3","New York Islanders","NYI","80","50","26","4","104",".650","357","269","1.00","-0.10","7.83","63","280","22.50","66","360","81.67","18","9","2423","14.7","2670",".900",""
"4","Buffalo Sabres","BUF","80","48","25","7","103",".644","315","257","0.82","0.09","7.15","71","329","21.58","50","277","81.95","11","14","2388","13.2","2148",".881",""
"5","Washington Capitals","WSH","80","48","27","5","101",".631","308","226","0.93","-0.09","6.68","77","382","20.16","39","293","86.69","8","18","2534","12.2","1965",".887",""
"6","Philadelphia Flyers","PHI","80","44","26","10","98",".613","350","290","0.68","-0.07","8.00","64","316","20.25","84","364","76.92","16","9","2945","11.9","2292",".876",""
"7","Quebec Nordiques","QUE","80","42","28","10","94",".588","360","278","1.09","0.06","7.98","69","316","21.84","70","361","80.61","11","10","2286","15.7","2251",".877",""
"8","New York Rangers","NYR","80","42","29","9","93",".581","314","304","0.10","-0.02","7.73","74","295","25.08","76","347","78.10","12","11","2552","12.3","2514",".883",""
"9","Minnesota North Stars","MNS","80","39","31","10","88",".550","345","344","-0.14","-0.15","8.61","91","340","26.76","89","407","78.13","18","8","2536","13.6","2610",".870",""
"10","Calgary Flames","CGY","80","34","32","14","82",".513","311","314","-0.03","0.01","7.81","64","297","21.55","63","315","80.00","15","10","2565","12.1","2628",".882",""
"11","Montreal Canadiens","MTL","80","35","40","5","75",".469","286","295","0.06","0.17","7.26","58","294","19.73","56","276","79.71","12","7","2293","12.5","2055",".858",""
"12","Vancouver Canucks","VAN","80","32","39","9","73",".456","306","328","-0.25","0.03","7.93","90","369","24.39","73","312","76.60","4","11","2494","12.3","2350",".866",""
"13","Winnipeg Jets","WIN","80","31","38","11","73",".456","340","374","-0.38","0.04","8.93","80","374","21.39","86","341","74.78","13","18","2584","13.2","2621",".858",""
"14","St. Louis Blues","STL","80","32","41","7","71",".444","293","316","-0.41","-0.12","7.61","79","347","22.77","91","364","75.00","4","16","2427","12.1","2400",".872",""
"15","Detroit Red Wings","DET","80","31","42","7","69",".431","298","323","-0.43","-0.12","7.76","79","356","22.19","77","311","75.24","9","10","2326","12.8","2314",".866",""
"16","Chicago Black Hawks","CBH","80","30","42","8","68",".425","277","311","-0.54","-0.11","7.35","67","332","20.18","74","342","78.36","8","7","2459","11.3","2526",".880",""
"17","Hartford Whalers","HAR","80","28","42","10","66",".413","288","320","-0.21","0.19","7.60","80","329","24.32","68","301","77.41","5","14","2402","12.0","2487",".873",""
"18","Toronto Maple Leafs","TOR","80","26","45","9","61",".381","303","387","-1.10","-0.05","8.63","82","383","21.41","101","382","73.56","10","7","2344","12.9","2832",".865",""
"19","Los Angeles Kings","LAK","80","23","44","13","59",".369","309","376","-0.76","0.08","8.56","75","360","20.83","82","294","72.11","10","17","2467","12.5","2535",".856",""
"20","New Jersey Devils","NJD","80","17","56","7","41",".256","231","350","-1.38","0.11","7.26","51","363","14.05","83","336","75.30","5","13","2101","11.0","2559",".865",""
"21","Pittsburgh Penguins","PIT","80","16","58","6","38",".238","254","390","-1.57","0.13","8.05","70","340","20.59","86","357","75.91","7","14","2267","11.2","2908",".870",""
