rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Detroit Red Wings","DET","82","54","21","7","115",".701","257","184","0.93","0.04","5.38","81","391","20.72","57","357","84.03","5","7","2820","8.9","1926",".909","99.9"
"2","San Jose Sharks","SJS","82","49","23","10","108",".659","222","193","0.47","0.12","5.06","70","374","18.72","44","310","85.81","7","9","2428","8.9","1975",".908","99.5"
"3","Montreal Canadiens","MTL","82","47","25","10","104",".634","262","222","0.35","-0.14","5.90","90","374","24.06","60","342","82.46","8","3","2383","10.8","2583",".919","102.6"
"4","Anaheim Ducks","ANA","82","47","27","8","102",".622","205","191","0.30","0.13","4.83","60","361","16.62","69","408","83.09","8","7","2241","8.8","2294",".922","101.0"
"5","Pittsburgh Penguins","PIT","82","47","27","8","102",".622","247","216","0.24","-0.14","5.65","77","378","20.37","68","357","80.95","6","10","2269","10.6","2518",".918","102.4"
"6","New Jersey Devils","NJD","82","46","29","7","99",".604","206","197","0.00","-0.11","4.91","50","320","15.63","54","314","82.80","6","7","2362","8.4","2249",".918","99.9"
"7","Minnesota Wild","MIN","82","44","28","10","98",".598","223","218","0.16","0.10","5.38","64","338","18.93","49","330","85.15","3","10","2218","9.9","2467",".916","101.6"
"8","New York Rangers","NYR","82","42","27","13","97",".591","213","199","0.05","-0.12","5.02","61","370","16.49","53","343","84.55","4","6","2579","7.9","2119",".913","99.3"
"9","Dallas Stars","DAL","82","45","30","7","97",".591","242","207","0.54","0.11","5.48","64","354","18.08","51","354","85.59","13","8","2187","10.8","2128",".908","101.4"
"10","Colorado Avalanche","COL","82","44","31","7","95",".579","231","219","0.24","0.09","5.49","49","335","14.63","56","301","81.40","2","5","2349","9.5","2226",".908","100.1"
"11","Philadelphia Flyers","PHI","82","42","29","11","95",".579","248","233","0.06","-0.12","5.87","84","385","21.82","65","388","83.25","13","6","2359","10.4","2604",".915","101.8"
"12","Boston Bruins","BOS","82","41","29","12","94",".573","212","222","-0.20","-0.08","5.29","56","319","17.55","71","332","78.61","9","6","2339","8.8","2492",".916","100.5"
"13","Calgary Flames","CGY","82","42","30","10","94",".573","229","227","0.13","0.10","5.56","59","352","16.76","72","389","81.49","9","8","2316","9.8","2330",".906","100.4"
"14","Washington Capitals","WSH","82","43","31","8","94",".573","242","231","-0.06","-0.19","5.77","65","346","18.79","68","349","80.52","5","8","2538","9.4","2252",".902","99.5"
"15","Ottawa Senators","OTT","82","43","31","8","94",".573","261","247","0.06","-0.11","6.20","60","328","18.29","72","380","81.05","18","6","2471","10.4","2448",".904","100.8"
"16","Carolina Hurricanes","CAR","82","43","33","6","92",".561","252","249","-0.15","-0.18","6.11","79","420","18.81","75","355","78.87","4","13","2669","9.4","2362",".898","99.2"
"17","Nashville Predators","NSH","82","41","32","9","91",".555","230","229","0.13","0.12","5.60","53","358","14.80","49","335","85.37","7","10","2425","9.4","2433",".911","100.4"
"18","Buffalo Sabres","BUF","82","39","31","12","90",".549","255","242","0.05","-0.11","6.06","66","366","18.03","56","333","83.18","9","8","2478","10.1","2318",".903","100.3"
"19","Vancouver Canucks","VAN","82","39","33","10","88",".537","213","215","0.08","0.11","5.22","63","369","17.07","64","368","82.61","8","7","2252","9.2","2364",".914","100.7"
"20","Chicago Blackhawks","CHI","82","40","34","8","88",".537","239","235","0.16","0.12","5.78","58","365","15.89","69","385","82.08","17","6","2298","10.2","2336",".905","100.5"
"21","Edmonton Oilers","EDM","82","41","35","6","88",".537","235","251","-0.07","0.12","5.93","57","344","16.57","56","366","84.70","7","10","2156","10.2","2563",".908","100.7"
"22","Florida Panthers","FLA","82","38","35","9","85",".518","216","226","-0.29","-0.17","5.39","60","313","19.17","66","374","82.35","4","3","2549","8.3","2748",".922","100.5"
"23","Toronto Maple Leafs","TOR","82","36","35","11","83",".506","231","260","-0.42","-0.06","5.99","61","343","17.78","77","352","78.13","4","10","2542","9.0","2395",".896","98.5"
"24","Phoenix Coyotes","PHX","82","38","37","7","83",".506","214","231","-0.04","0.17","5.43","63","339","18.58","64","332","80.72","11","12","2500","8.4","2510",".914","99.6"
"25","Columbus Blue Jackets","CBJ","82","34","36","12","80",".488","193","218","-0.16","0.15","5.01","53","356","14.89","63","378","83.33","8","5","2381","8.0","2240",".910","98.9"
"26","St. Louis Blues","STL","82","33","36","13","79",".482","205","237","-0.24","0.16","5.39","47","334","14.07","56","359","84.40","3","13","2141","9.4","2240",".900","99.3"
"27","New York Islanders","NYI","82","35","38","9","79",".482","194","243","-0.65","-0.05","5.33","48","330","14.55","68","375","81.87","10","15","2435","7.8","2479",".907","98.3"
"28","Atlanta Thrashers","ATL","82","34","40","8","76",".463","216","272","-0.80","-0.12","5.95","52","316","16.46","75","354","78.81","13","10","2115","9.8","2776",".906","100.3"
"29","Los Angeles Kings","LAK","82","32","43","7","71",".433","231","266","-0.24","0.19","6.06","64","367","17.44","68","309","77.99","11","4","2349","9.6","2615",".903","99.8"
"30","Tampa Bay Lightning","TBL","82","31","42","9","71",".433","223","267","-0.67","-0.13","5.98","57","296","19.26","56","312","82.05","7","7","2354","9.4","2298",".890","97.9"
