rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Detroit Red Wings","DET","82","51","17","10","116",".707","251","187","0.83","0.05","5.34","73","359","20.33","48","343","86.01","9","7","2538","9.9","2157",".914",""
"2","Boston Bruins","BOS","82","43","24","6","101",".616","236","201","0.33","-0.09","5.33","39","283","13.78","45","349","87.11","14","5","2596","9.1","2052",".904",""
"3","Toronto Maple Leafs","TOR","82","43","25","10","100",".610","249","207","0.44","-0.08","5.56","54","349","15.47","51","328","84.45","9","6","2339","10.6","2039",".901",""
"4","San Jose Sharks","SJS","82","44","27","8","99",".604","248","199","0.62","0.02","5.45","59","369","15.99","54","381","85.83","15","6","2228","11.1","2328",".918",""
"5","Colorado Avalanche","COL","82","45","28","8","99",".604","212","169","0.58","0.06","4.65","62","344","18.02","41","315","86.98","7","7","2252","9.4","2167",".927",""
"6","St. Louis Blues","STL","82","43","27","8","98",".598","227","188","0.54","0.07","5.06","62","356","17.42","56","379","85.22","5","7","2380","9.5","1840",".902",""
"7","Philadelphia Flyers","PHI","82","42","27","10","97",".591","234","192","0.41","-0.11","5.20","39","300","13.00","40","293","86.35","8","10","2442","9.6","2132",".913",""
"8","Chicago Blackhawks","CHI","82","41","27","13","96",".585","216","207","0.19","0.08","5.16","54","302","17.88","63","340","81.47","4","2","2271","9.5","2072",".903",""
"9","New York Islanders","NYI","82","42","28","8","96",".585","239","220","0.15","-0.08","5.60","59","363","16.25","52","366","85.79","17","10","2319","10.3","2276",".907",""
"10","New Jersey Devils","NJD","82","41","28","9","95",".579","205","187","0.15","-0.07","4.78","44","261","16.86","43","265","83.77","2","8","2445","8.4","1892",".905",""
"11","Phoenix Coyotes","PHX","82","40","27","9","95",".579","228","210","0.29","0.07","5.34","53","340","15.59","60","356","83.15","8","6","2179","10.5","2343",".913",""
"12","Los Angeles Kings","LAK","82","40","27","11","95",".579","214","190","0.35","0.05","4.93","73","353","20.68","49","366","86.61","5","6","2110","10.1","2046",".910",""
"13","Vancouver Canucks","VAN","82","42","30","7","94",".573","254","211","0.59","0.07","5.67","69","372","18.55","57","379","84.96","3","9","2326","10.9","2074",".901",""
"14","Ottawa Senators","OTT","82","39","27","9","94",".573","243","208","0.36","-0.07","5.50","55","331","16.62","48","307","84.36","11","5","2469","9.8","2123",".903",""
"15","Edmonton Oilers","EDM","82","38","28","12","92",".561","205","182","0.34","0.06","4.72","51","333","15.32","50","348","85.63","12","7","2256","9.1","2115",".916",""
"16","Carolina Hurricanes","CAR","82","35","26","16","91",".555","217","217","-0.09","-0.09","5.29","63","391","16.11","54","332","83.73","4","11","2347","9.2","2209",".904",""
"17","Dallas Stars","DAL","82","36","28","13","90",".549","215","213","0.09","0.07","5.22","60","350","17.14","59","319","81.50","7","8","2335","9.2","2128",".903",""
"18","Montreal Canadiens","MTL","82","36","31","12","87",".530","207","209","-0.10","-0.08","5.07","45","301","14.95","38","277","86.28","7","4","2092","9.9","2588",".923",""
"19","Washington Capitals","WSH","82","36","33","11","85",".518","228","240","-0.25","-0.10","5.71","58","299","19.40","58","325","82.15","2","8","2293","9.9","2350",".901",""
"20","Buffalo Sabres","BUF","82","35","35","11","82",".500","213","200","0.09","-0.07","5.04","50","375","13.33","41","304","86.51","7","6","2295","9.3","2111",".910",""
"21","New York Rangers","NYR","82","36","38","4","80",".488","227","258","-0.43","-0.05","5.91","48","326","14.72","80","398","79.90","8","5","2392","9.5","2612",".904",""
"22","Calgary Flames","CGY","82","32","35","12","79",".482","201","220","-0.15","0.08","5.13","55","364","15.11","66","356","81.46","10","5","2207","9.1","2235",".905",""
"23","Minnesota Wild","MIN","82","26","35","12","73",".445","195","238","-0.41","0.11","5.28","55","373","14.75","62","362","82.87","11","9","1954","10.0","2296",".897",""
"24","Mighty Ducks of Anaheim","MDA","82","29","42","8","69",".421","175","198","-0.20","0.08","4.55","43","373","11.53","46","330","86.06","4","9","2142","8.2","2246",".915",""
"25","Tampa Bay Lightning","TBL","82","27","40","11","69",".421","178","219","-0.58","-0.08","4.84","46","312","14.74","40","273","85.35","6","9","2179","8.2","2513",".917",""
"26","Nashville Predators","NSH","82","28","41","13","69",".421","196","230","-0.31","0.10","5.20","48","337","14.24","50","354","85.88","6","8","2019","9.7","2307",".903",""
"27","Pittsburgh Penguins","PIT","82","28","41","8","69",".421","198","249","-0.66","-0.04","5.45","47","335","14.03","57","352","83.81","5","10","2215","8.9","2388",".898",""
"28","Florida Panthers","FLA","82","22","44","10","60",".366","180","250","-0.92","-0.07","5.24","50","341","14.66","76","393","80.66","8","7","2205","8.2","2658",".909",""
"29","Columbus Blue Jackets","CBJ","82","22","47","8","57",".348","164","255","-0.97","0.14","5.11","50","356","14.04","52","306","83.01","3","8","2046","8.0","2460",".900",""
"30","Atlanta Thrashers","ATL","82","19","47","11","54",".329","187","288","-1.27","-0.04","5.79","37","306","12.09","65","358","81.84","3","12","1984","9.4","2897",".905",""
